Dataset,Epoche,Margin,LR,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@50,Recall@100,Recall@200,Queries_Total,Queries_Used
LogoDet-3K,1,05,000003,0.12995577202379696,0.4796840135393262,0.9359147601482988,0.9233333333333333,0.8106666666666669,0.7316666666666667,0.4574523283199517,0.5407720703029393,0.6078896391657664,300,300
FlickrLogos-32,1,05,000003,,0.7045005954972768,0.9688824152542372,0.96875,0.925,0.89375,0.5387927092478783,0.7283874147485081,0.818167892156863,32,32
LogoDet-3K,2,05,000003,0.11018391056591215,0.5114296473174108,0.939675638541673,0.9233333333333333,0.8186666666666669,0.7476666666666664,0.48084350225520067,0.5721141935711572,0.6356850954734207,300,300
FlickrLogos-32,2,05,000003,,0.7183802631315239,0.9455090408805031,0.9375,0.925,0.9093749999999999,0.5448269164090036,0.7435595161977835,0.8314950980392158,32,32
LogoDet-3K,3,05,000003,0.10008003982851837,0.5357090565642025,0.9355507777913088,0.9233333333333333,0.828,0.7600000000000001,0.5020209364825314,0.5892848355134293,0.6522293082503234,300,300
FlickrLogos-32,3,05,000003,,0.7369256873489085,0.9696180555555556,0.96875,0.94375,0.9156249999999999,0.5629561789835986,0.7598305626598465,0.8495843989769821,32,32
LogoDet-3K,4,05,000003,0.09593767337058254,0.5498293409461594,0.9436019252243488,0.9366666666666666,0.83,0.7680000000000003,0.5122456386351399,0.6034336947876022,0.6694908602277225,300,300
FlickrLogos-32,4,05,000003,,0.7549179853589341,0.9279513888888888,0.90625,0.9249999999999999,0.90625,0.5779284722487309,0.7698542732310316,0.8758791560102304,32,32
LogoDet-3K,5,05,000003,0.09264996447637883,0.5582523360099181,0.9436229683659648,0.9333333333333333,0.8393333333333333,0.7710000000000004,0.5225259289419134,0.6139599674628753,0.6795462118154986,300,300
FlickrLogos-32,5,05,000003,,0.740563411520857,0.9485544217687074,0.9375,0.9249999999999999,0.903125,0.566133129111476,0.7603034420289855,0.8654624893435634,32,32
LogoDet-3K,6,05,000003,0.08910671506881686,0.5672574560014215,0.9399686376451056,0.93,0.848,0.7723333333333336,0.5232087764234467,0.6232730072206375,0.6903612376464446,300,300
FlickrLogos-32,6,05,000003,,0.7580078854819735,0.9695945945945946,0.96875,0.93125,0.903125,0.5765764368693617,0.7730512041773231,0.8686460997442458,32,32
LogoDet-3K,7,05,000003,0.0870259480047933,0.5666185660503512,0.9320375933257442,0.9233333333333333,0.838,0.7669999999999999,0.525631028919797,0.6262243155742296,0.6959670116897673,300,300
FlickrLogos-32,7,05,000003,,0.7446301149656381,0.9540178571428571,0.9375,0.91875,0.89375,0.5679180822231553,0.7580522698209717,0.8591418904518329,32,32
LogoDet-3K,8,05,000003,0.0863666799161411,0.5709159427760802,0.9272684968583966,0.9133333333333333,0.834,0.7686666666666665,0.5301939689806886,0.6339465693770486,0.7029091393375848,300,300
FlickrLogos-32,8,05,000003,,0.7385375643225234,0.9388020833333334,0.90625,0.8999999999999999,0.884375,0.5633557953518852,0.7489942988064792,0.84464247655584,32,32
LogoDet-3K,9,05,000003,0.08403451226115842,0.5765429948215748,0.9327626755231879,0.9233333333333333,0.8360000000000002,0.7723333333333334,0.5313808145425439,0.6355920283286356,0.710390077624758,300,300
FlickrLogos-32,9,05,000003,,0.7408512431023261,0.9393382352941176,0.90625,0.90625,0.8906250000000001,0.5638353349938288,0.7594043052003409,0.8604939258312022,32,32
LogoDet-3K,10,05,000003,0.08500498598013223,0.5785282915220624,0.9281678950336728,0.92,0.8300000000000002,0.7760000000000005,0.5341174614651237,0.6391239410695299,0.7125430105372109,300,300
FlickrLogos-32,10,05,000003,,0.735527985318576,0.9401041666666666,0.90625,0.9187500000000001,0.9,0.5601855054968126,0.759817242114237,0.8564111786018757,32,32
