Dataset,Epoche,Margin,LR,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@50,Recall@100,Recall@200,Queries_Total,Queries_Used
LogoDet-3K,1,05,000003,0.13737152388565593,0.46906227566206715,0.9233881291255176,0.9033333333333333,0.8006666666666666,0.7256666666666668,0.4533901891801105,0.5314882674648852,0.5906142701879432,300,300
FlickrLogos-32,1,05,000003,,0.6925320403025428,0.9531624251497006,0.9375,0.91875,0.8999999999999999,0.5469515434337265,0.7098115162677661,0.8040880754475704,32,32
LogoDet-3K,2,05,000003,0.1144046353319138,0.49842644763624405,0.9386355912312323,0.92,0.82,0.7390000000000003,0.47259075500651504,0.5560988822633572,0.6179621602837955,300,300
FlickrLogos-32,2,05,000003,,0.7431140322783919,0.9687873357228196,0.96875,0.9375000000000001,0.9375,0.5783014475257983,0.7602568201193523,0.8477794650468884,32,32
LogoDet-3K,3,05,000003,0.10500664614174085,0.519694247223171,0.9411860279609103,0.9266666666666666,0.8133333333333334,0.7430000000000001,0.4888124795334296,0.5763019326843697,0.6425124475794945,300,300
FlickrLogos-32,3,05,000003,,0.7651348097727263,0.9687881562881563,0.96875,0.95,0.91875,0.5923080012342379,0.7883298699914748,0.8667545822676899,32,32
LogoDet-3K,4,05,000003,0.1000564438728657,0.536203080828759,0.9391272918210416,0.9266666666666666,0.8280000000000001,0.7580000000000001,0.5003845060452735,0.5892002724555518,0.6563297764600643,300,300
FlickrLogos-32,4,05,000003,,0.7739441888450034,0.9687878787878788,0.96875,0.9375,0.921875,0.5972898852922092,0.7923926364023871,0.8754129369138962,32,32
LogoDet-3K,5,05,000003,0.09748117360752132,0.539017505791917,0.9444713633013059,0.9333333333333333,0.8266666666666664,0.7603333333333336,0.505161516662623,0.5935786732461982,0.6533002649533248,300,300
FlickrLogos-32,5,05,000003,,0.7463168657939403,0.9187887236679058,0.90625,0.9125,0.8875,0.5714413665368808,0.7706202046035805,0.8622722186700769,32,32
LogoDet-3K,6,05,000003,0.09320461046568328,0.5480735925849336,0.942260788962745,0.93,0.8333333333333335,0.7680000000000002,0.5116430583144943,0.5993861133657155,0.6644973406729049,300,300
FlickrLogos-32,6,05,000003,,0.7462562665088054,0.9427512002743484,0.9375,0.89375,0.8843749999999999,0.5696031312427633,0.7673833120204604,0.8567242114237,32,32
LogoDet-3K,7,05,000003,0.09096695920874025,0.5587624170575622,0.9426830977838883,0.93,0.8406666666666668,0.7723333333333336,0.5176342674564061,0.6066423220542233,0.6724233008554694,300,300
FlickrLogos-32,7,05,000003,,0.7479106466500994,0.9158398380240399,0.90625,0.89375,0.8875,0.5731996785573412,0.7605898337595909,0.8627117966751919,32,32
LogoDet-3K,8,05,000003,0.08919326905579338,0.5620907890902945,0.9428920643022779,0.9266666666666666,0.8379999999999999,0.7679999999999999,0.5222957471225781,0.6097483946883119,0.6824695784271765,300,300
FlickrLogos-32,8,05,000003,,0.7417386118571799,0.890259869044236,0.875,0.875,0.8687499999999999,0.5705022680714077,0.7596773763853369,0.846320865302643,32,32
LogoDet-3K,9,05,000003,0.08789188352284104,0.5747498083494981,0.9430133809402624,0.93,0.845333333333333,0.7836666666666668,0.5245524010437077,0.6192166285983075,0.6887143455411031,300,300
FlickrLogos-32,9,05,000003,,0.7806312671534433,0.912607646982647,0.90625,0.9,0.8999999999999999,0.6049491990176992,0.7886961849957375,0.8717564471440751,32,32
LogoDet-3K,10,05,000003,0.08753615167801056,0.5753644233501409,0.9462734887668747,0.9366666666666666,0.8553333333333332,0.785666666666667,0.52614573882795,0.6250634147245603,0.6968332829213927,300,300
FlickrLogos-32,10,05,000003,,0.785015857889251,0.9453843390804598,0.9375,0.925,0.9187500000000001,0.6026314240816377,0.7958826193520886,0.8666946398124469,32,32
