Dataset,Epoche,Margin,LR,Loss,mAP,MRR,Precision@1,Precision@5,Precision@10,Recall@50,Recall@100,Recall@200,Queries_Total,Queries_Used
LogoDet-3K,11,05,000003,0.08559306601914685,0.5809161481577488,0.946325925964403,0.9366666666666666,0.8526666666666666,0.787,0.530830264330109,0.6276788023449489,0.7003508604646632,300,300
FlickrLogos-32,11,05,000003,,0.7707936218702108,0.9453619462025317,0.9375,0.925,0.91875,0.5949388089921239,0.7804840686274511,0.861679454390452,32,32
LogoDet-3K,12,05,000003,0.08520297246336264,0.5835165780227471,0.94275193238412,0.9333333333333333,0.8506666666666668,0.7833333333333332,0.5363058283564799,0.6315829222968696,0.700734584715783,300,300
FlickrLogos-32,12,05,000003,,0.760946658145799,0.9264067803147177,0.90625,0.8875000000000001,0.8875,0.5840892245931468,0.7719189578005117,0.8604006820119352,32,32
LogoDet-3K,13,05,000003,0.08499577824687855,0.5841012632618271,0.9524193464157327,0.9366666666666666,0.8613333333333334,0.7936666666666667,0.5389343903707234,0.6333982926098363,0.7034737084060351,300,300
FlickrLogos-32,13,05,000003,,0.7644990849434755,0.9414592161016949,0.9375,0.9125000000000001,0.909375,0.5849483997849628,0.7786191922421143,0.8516424232736575,32,32
LogoDet-3K,14,05,000003,0.08457796861178192,0.5868682701586896,0.9463061032994032,0.9366666666666666,0.8553333333333334,0.7906666666666669,0.5388438576332497,0.6374950481396545,0.7071306602712291,300,300
FlickrLogos-32,14,05,000003,,0.7674274976265703,0.9531730030721967,0.9375,0.925,0.89375,0.5922280779605807,0.7872775468883205,0.8634977088661551,32,32
LogoDet-3K,15,05,000003,0.08508470701361234,0.5870950096100724,0.9517603495326572,0.94,0.8540000000000005,0.7800000000000001,0.535766356186959,0.6385715692878305,0.7117600875937271,300,300
FlickrLogos-32,15,05,000003,,0.7488167171093331,0.93828604209876,0.9375,0.9187500000000001,0.890625,0.5772824257866677,0.7586916560102303,0.8357510123614665,32,32
